mjd,mag,magerr
51818.42,20.625753,0.03325248
51875.25,20.790672,0.032310028
52171.41,20.561451,0.029474137
52171.48,20.572996,0.03353181
52173.39,20.533684,0.029556375
52224.37,20.51126,0.028278574
52225.33,20.589115,0.031034434
52234.32,20.554213,0.030106165
52261.29,20.569714,0.032527845
52288.17,20.611269,0.031205818
52522.47,20.606653,0.030917265
52551.44,20.585533,0.02743042
52552.49,20.57785,0.027633265
52557.46,20.619081,0.027530063
52558.47,20.59937,0.025269628
52578.34,20.557724,0.024696099
52585.31,20.622452,0.02753067
52585.36,20.569555,0.026414057
52908.44,20.778442,0.03168994
52910.44,20.72118,0.030294074
52934.37,20.695337,0.029496811
52935.37,20.731108,0.03222329
53270.43,21.22851,0.03848436
53272.48,21.20618,0.036545806
53286.45,21.447613,0.067607634
53288.4,21.19675,0.04025055
53294.45,21.282948,0.046292298
53296.4,21.248402,0.044841178
53298.45,21.244629,0.040757213
53312.36,21.250235,0.081220075
53314.36,21.259022,0.057333797
53616.46,21.205591,0.045292318
53622.47,21.280264,0.03624012
53626.44,21.352055,0.045528572
53627.43,21.201958,0.04260964
53635.43,21.13016,0.0877749
53638.47,21.15837,0.058160204
53639.47,21.126768,0.049942452
53640.43,21.372107,0.054507177
53643.47,21.296242,0.052392907
53657.47,21.158266,0.0478884
53663.41,21.090586,0.10951472
53665.39,21.14475,0.088163696
53665.49,21.41547,0.11166727
53666.48,21.242962,0.076696046
53668.4,21.14191,0.06701528
53668.48,21.117344,0.092262305
53669.39,21.357473,0.08176844
53669.49,21.140139,0.059723932
53671.47,21.244925,0.05224695
53673.37,21.15727,0.0368191
53674.37,21.147594,0.056300692
53676.46,21.15975,0.07455926
53679.43,21.154581,0.043244325
53681.42,21.517965,0.05310427
53683.44,22.050365,0.07547427
53686.38,21.087164,0.08248506
53696.39,21.13157,0.060928803
53697.38,21.189209,0.06483553
53699.4,21.167189,0.051675335
53975.45,20.875786,0.039934717
53994.47,20.97809,0.043363765
53996.46,20.65657,0.040367834
54007.49,20.93223,0.032680262
54008.45,20.909079,0.03172441
54009.41,20.900064,0.026436983
54009.48,20.93045,0.028745739
54010.41,20.921349,0.030558765
54011.47,20.898472,0.027733738
54012.4,20.89925,0.053250715
54020.44,20.82305,0.06483347
54024.49,20.89245,0.047510084
54025.47,20.665384,0.032886546
54028.48,20.905788,0.038811017
54029.48,20.926405,0.039899744
54030.43,20.905483,0.030218754
54031.39,20.864466,0.028138332
54035.48,20.906096,0.04485084
54036.4,20.921997,0.036711115
54037.38,21.003124,0.033925146
54040.4,20.922092,0.030732784
54041.43,20.911402,0.03135654
54047.43,21.072231,0.1553743
54048.41,20.828386,0.06725312
54049.43,20.897194,0.090933785
54050.39,21.01719,0.09205014
54052.39,20.855833,0.054768737
54053.41,20.86534,0.056314174
54055.4,20.814514,0.041498102
54056.39,20.960947,0.039686177
54058.39,20.93482,0.04274514
54059.39,20.904192,0.03933506
54060.41,20.954266,0.03780858
54061.4,20.884542,0.047217388
54062.39,20.924162,0.035043705
54065.38,20.898218,0.034757
54068.37,21.01615,0.051703155
54348.47,20.916891,0.058885813
54357.43,20.798208,0.02960512
54362.48,20.796673,0.029782545
54376.47,20.736645,0.0381783
54382.46,20.727188,0.032923575
54385.48,20.823647,0.03365852
54386.47,20.76187,0.028363854
54387.48,20.709997,0.034182537
54391.48,20.734423,0.040949106
54392.47,20.730711,0.030477785
54394.46,21.05977,0.087886766
54396.34,20.646168,0.08661075
54396.48,20.671598,0.04264513
54402.47,20.591942,0.10426181
54403.39,20.581068,0.43692794
54404.45,22.300137,0.8443348
54406.38,20.718277,0.031559926
54409.39,20.707357,0.027856443
54411.34,20.736727,0.030776333
54412.41,20.700804,0.033978228
54415.4,20.755136,0.030647123
54416.38,20.73159,0.029315893
54418.38,20.74779,0.03573524
54421.39,20.67207,0.034039415
54422.39,20.698997,0.037549503
54423.36,20.695225,0.030912824
54424.32,20.650581,0.051970605
54433.39,20.611052,0.079961956
