mjd,mag,magerr
51818.43,20.48099,0.029476728
51875.26,20.33726,0.028102258
52171.49,20.71325,0.03546361
52173.39,20.750143,0.03562533
52225.34,20.744154,0.035169587
52261.29,20.608004,0.040388897
52287.17,20.640493,0.034216154
52288.17,20.64549,0.033160586
52551.44,20.449516,0.030613076
52558.48,20.41371,0.033785135
52578.35,20.455761,0.030220667
52585.31,20.473085,0.030471832
52908.44,20.71346,0.035759225
52910.45,20.531927,0.031179206
52912.42,20.714437,0.03807092
52934.37,20.66382,0.031813193
52935.38,20.57017,0.03199312
52936.37,20.680313,0.03434067
53270.43,20.724442,0.030684425
53272.48,20.743912,0.03321546
53286.45,20.928331,0.058881707
53288.41,20.750822,0.030042753
53294.46,20.705612,0.03038547
53296.4,20.790155,0.03643924
53298.45,20.636497,0.03332022
53312.36,20.718405,0.0478724
53616.46,20.677452,0.037755534
53622.48,20.762207,0.030499972
53626.44,20.744268,0.032234386
53627.43,20.618986,0.031296477
53635.43,20.687963,0.068830356
53638.47,20.639751,0.041340917
53639.47,20.611095,0.036395136
53640.43,20.750603,0.040814523
53657.48,20.585167,0.03359392
53664.43,21.005424,0.1355112
53668.48,20.405792,0.061903056
53669.39,20.496162,0.036997654
53669.49,20.572557,0.044188585
53671.47,20.499464,0.037548788
53673.38,20.548124,0.028884582
53674.37,20.445232,0.03545857
53675.37,20.489548,0.032205552
53676.46,20.564323,0.04239438
53679.43,20.508896,0.032460924
53680.38,20.52764,0.031193338
53681.43,20.742647,0.032140553
53683.44,21.318699,0.04895055
53696.39,20.504095,0.04793353
53697.38,20.453955,0.03547495
53699.41,20.566795,0.044433966
53975.45,20.335032,0.029849205
53989.46,20.31788,0.049849693
53994.48,20.141243,0.028177656
53996.46,20.028534,0.028454773
54008.45,20.27527,0.023060221
54009.49,20.240183,0.022481136
54010.41,20.26666,0.027092643
54011.48,20.319445,0.022093104
54012.41,20.228317,0.033497274
54020.45,20.196157,0.03692209
54025.48,20.102146,0.029294716
54028.48,20.239904,0.028217325
54029.49,20.309502,0.028503057
54030.44,20.244492,0.022402884
54035.48,20.26599,0.039479334
54036.4,20.316303,0.027783409
54037.39,20.239368,0.024120813
54039.4,20.258116,0.029417021
54040.4,20.239164,0.031983074
54041.37,20.344267,0.03807461
54041.44,20.260271,0.029417634
54047.43,20.264568,0.08596682
54048.42,20.350132,0.04317626
54049.43,20.308079,0.072526306
54050.39,20.269308,0.044948556
54052.4,20.215736,0.03391546
54053.41,20.200602,0.053768072
54055.41,20.274347,0.03046138
54056.4,20.264587,0.02866574
54059.39,20.222355,0.031474058
54060.41,20.349304,0.031240307
54061.4,20.262129,0.030863553
54062.39,20.265955,0.03477881
54065.39,20.322033,0.029334191
54068.37,20.326012,0.053510513
54348.47,20.389944,0.036297683
54357.43,20.3373,0.027891029
54362.48,20.339512,0.029757988
54365.46,20.391653,0.022294272
54376.48,20.374369,0.037426166
54381.48,20.43454,0.03026969
54382.46,20.37364,0.036703967
54385.48,20.370335,0.029974712
54386.48,20.44747,0.029278029
54387.48,20.260702,0.030574905
54391.48,20.280886,0.033716295
54392.48,20.393866,0.028435256
54393.48,20.415861,0.02907961
54394.46,20.416525,0.05200894
54396.35,20.319874,0.07638466
54396.48,20.398031,0.04469503
54402.47,20.282112,0.079595335
54409.39,20.421051,0.029591486
54412.41,20.392149,0.040878158
54413.39,20.251152,0.088870555
54415.4,20.300735,0.029234715
54416.39,20.371038,0.025433538
54418.39,20.273706,0.035192978
54421.39,20.34863,0.037525225
54422.39,20.28262,0.030400222
54423.37,20.370535,0.029485436
54424.33,20.25937,0.038387407
54433.39,20.49097,0.08975442
