mjd,mag,magerr
51818.42,19.578732,0.030843146
51875.25,19.683859,0.024496896
52171.41,19.899504,0.031320494
52171.48,19.886868,0.030551592
52225.33,19.909395,0.03004861
52234.32,19.85251,0.030412741
52261.28,19.963871,0.026654653
52287.16,19.96332,0.029416561
52288.16,19.973028,0.029579327
52522.47,19.88218,0.024466863
52551.44,19.852346,0.026244648
52552.48,19.86311,0.030300427
52558.47,19.853704,0.030496772
52578.34,19.840971,0.024719354
52585.3,19.87565,0.028225318
52908.43,19.87668,0.03055175
52910.44,19.849838,0.03343958
52934.36,19.834335,0.028408932
52935.37,19.833076,0.030134387
53270.42,19.899893,0.026295278
53272.47,19.969027,0.026850931
53286.44,19.978043,0.032621402
53288.4,19.968481,0.02955698
53294.45,20.109646,0.035620317
53296.4,19.919643,0.03422164
53298.45,19.903805,0.032215927
53312.35,19.929451,0.036963515
53314.35,19.889769,0.03500125
53616.46,19.75711,0.026949719
53622.47,19.813585,0.023870837
53627.43,19.80338,0.032312337
53635.43,19.785471,0.030820083
53638.46,19.794024,0.02997115
53639.47,19.82361,0.03560168
53640.43,19.82925,0.027121803
53641.46,19.886793,0.029609064
53643.47,19.975065,0.030420601
53657.47,19.82614,0.026865937
53663.41,19.757965,0.034224812
53663.49,19.737642,0.04005818
53664.42,20.51922,0.20562498
53665.39,19.826439,0.03208331
53665.49,19.770407,0.036240198
53666.48,19.75925,0.03124308
53668.48,19.991436,0.060379706
53669.38,19.8336,0.033996657
53671.47,19.78398,0.03397318
53673.37,19.936184,0.03156593
53674.37,19.779636,0.039954398
53675.37,19.814022,0.030830385
53676.46,20.017603,0.075483896
53676.49,21.648138,0.15259716
53679.43,19.864761,0.030245107
53680.38,19.81586,0.025609748
53681.42,20.096664,0.031086585
53683.43,20.68573,0.05242671
53686.37,19.90199,0.034219723
53696.38,19.925514,0.035615597
53697.38,19.867355,0.033741865
53699.4,19.972816,0.031361766
53975.45,19.867186,0.031639706
53994.47,19.826143,0.027297882
53996.45,19.781637,0.030867638
54007.48,19.841593,0.027190179
54008.44,19.933496,0.031136064
54009.48,19.859472,0.024089694
54011.47,19.878073,0.0301658
54012.4,19.820381,0.046439424
54012.48,19.908049,0.031882785
54020.44,19.837132,0.032081924
54024.49,19.854116,0.034530252
54025.47,19.799383,0.028151058
54028.48,19.896854,0.03894209
54029.48,19.807764,0.034038443
54030.43,19.817636,0.028891701
54035.48,19.876053,0.03888663
54036.39,19.980202,0.039747324
54037.38,19.864376,0.02663559
54040.4,19.859661,0.027131408
54041.43,19.807838,0.0252667
54048.41,19.896524,0.034296595
54049.42,19.889275,0.04655374
54050.38,19.881796,0.04864917
54052.39,19.915504,0.041511446
54055.4,19.907288,0.03774564
54056.39,19.900942,0.03166159
54059.38,19.861485,0.03649577
54060.4,19.864367,0.029016357
54061.39,19.90875,0.044599116
54062.39,19.846588,0.025091698
54065.38,19.845776,0.032470226
54068.37,19.875843,0.039284304
54346.46,19.93497,0.043338053
54348.47,19.822966,0.040061045
54357.43,19.90962,0.025699334
54362.48,19.900576,0.027406976
54365.46,19.882183,0.025894249
54376.47,19.88806,0.026423052
54381.48,19.92214,0.029609945
54382.46,19.825138,0.028863534
54385.47,19.904911,0.026810396
54387.47,19.854588,0.031025833
54391.47,19.916374,0.07091996
54392.47,19.825132,0.027303336
54394.46,19.919058,0.06436594
54396.34,19.833733,0.05400346
54396.48,19.744783,0.054488927
54402.47,19.832024,0.05233374
54403.39,19.885403,0.051771667
54404.44,19.839111,0.05853144
54406.38,19.869535,0.02543441
54409.38,19.875713,0.026371796
54411.34,19.88194,0.032133207
54412.41,19.867409,0.03670836
54413.38,19.895657,0.043019556
54415.39,19.883923,0.025593644
54416.38,19.839054,0.028725343
54418.38,19.85657,0.037419233
54421.38,19.910221,0.03479131
54422.38,19.899052,0.038200296
54423.36,19.865467,0.030342681
54424.32,19.856415,0.029740801
